question_id,question_type,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,reference_url,chatgpt_verified,terminology_status,terminology_notes,exam_section,exam_objectives,topics,difficulty,question_source,review_status,is_outdated
PMLE-0136,single_choice,"You work for an online publisher that delivers news articles to over 50 million readers. You have built an AI model that recommends content for
 the company’s weekly newsletter. A recommendation is considered successful if the article is opened within two days of the newsletter’s
 published date and the user remains on the page for at least one minute.
 All the information needed to compute the success metric is available in BigQuery and is updated hourly. The model is trained on eight weeks of
 data, on average its performance degrades below the acceptable baseline after five weeks, and training time is 12 hours. You want to ensure that
 the model’s performance is above the acceptable baseline while minimizing cost. How should you monitor the model to determine when retraining
 is necessary?",Use Agent Platform Model Monitoring to detect skew of the input features with a sample rate of 100% and a monitoring frequency of two days.,Schedule a cron job in Cloud Tasks to retrain the model every week before the newsletter is created.,Schedule a weekly query in BigQuery to compute the success metric.,Schedule a daily Dataflow job in Cloud Composer to compute the success metric.,,C,The business success metric is available in BigQuery and updates hourly. A scheduled weekly BigQuery query is sufficient to measure whether performance is approaching the five-week degradation point and is cheaper than daily Dataflow processing or retraining every week regardless of need.,https://cloud.google.com/bigquery/docs/scheduling-queries,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Evaluation Metrics; BigQuery; Recommendation Systems; Agents,Easy,Original Bank,Updated 2026,FALSE
PMLE-0137,single_choice,"You deployed an ML model into production a year ago. Every month, you collect all raw requests that were sent to your model prediction service
 during the previous month. You send a subset of these requests to a human labeling service to evaluate your model’s performance. After a year,
 you notice that your model's performance sometimes degrades significantly after a month, while other times it takes several months to notice any
 decrease in performance. The labeling service is costly, but you also need to avoid large performance degradations. You want to determine how
 often you should retrain your model to maintain a high level of performance while minimizing cost. What should you do?","Train an anomaly detection model on the training dataset, and run all incoming requests through this model. If an anomaly is detected,
 send the most recent serving data to the labeling service.","Identify temporal patterns in your model’s performance over the previous year. Based on these patterns, create a schedule for sending
 serving data to the labeling service for the next year.","Compare the cost of the labeling service with the lost revenue due to model performance degradation over the past year. If the lost revenue
 is greater than the cost of the labeling service, increase the frequency of model retraining; otherwise, decrease the model retraining frequency.","Run training-serving skew detection batch jobs every few days to compare the aggregate statistics of the features in the training dataset
 with recent serving data. If skew is detected, send the most recent serving data to the labeling service.",,D,"Frequent training-serving skew checks are relatively inexpensive and can trigger costly human labeling only when the serving distribution changes. Human labels are still needed to confirm actual performance degradation before retraining. Skew is only a proxy, so this design should also retain periodic quality checks.",https://cloud.google.com/vertex-ai/docs/model-monitoring/model-monitoring-overview,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions; Automating model retraining",Model Monitoring; Pipelines; Time Series,Medium,Original Bank,Verified,FALSE
PMLE-0138,single_choice,"You work for a company that manages a ticketing platform for a large chain of cinemas. Customers use a mobile app to search for movies they’re
 interested in and purchase tickets in the app. Ticket purchase requests are sent to Pub/Sub and are processed with a Dataflow streaming pipeline
 configured to conduct the following steps:
 1. Check for availability of the movie tickets at the selected cinema.
 2. Assign the ticket price and accept payment.
 3. Reserve the tickets at the selected cinema.
 4. Send successful purchases to your database.
 Each step in this process has low latency requirements (less than 50 milliseconds). You have developed a logistic regression model with BigQuery
 ML that predicts whether offering a promo code for free popcorn increases the chance of a ticket purchase, and this prediction should be added
 to the ticket purchase process. You want to identify the simplest way to deploy this model to production while adding minimal latency. What
 should you do?",Run batch inference with BigQuery ML every five minutes on each new set of tickets issued.,"Export your model in TensorFlow format, and add a tfx_bsl.public.beam.RunInference step to the Dataflow pipeline.","Export your model in TensorFlow format, deploy it on Vertex AI, and query the prediction endpoint from your streaming pipeline.","Convert your model with TensorFlow Lite (TFLite), and add it to the mobile app so that the promo code and the incoming request arrive
 together in Pub/Sub.",,B,The prediction must be added to an existing low-latency Dataflow stream. Exporting the BigQuery ML logistic-regression model and running inference inside the Beam workers avoids a network call for each event and is simpler and lower-latency than a remote endpoint. The modern Beam API is RunInference.,https://cloud.google.com/dataflow/docs/machine-learning/runinference-about,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Serving and scaling models,Serving models; Developing end-to-end ML pipelines,Dataflow; BigQuery ML; Online Inference; BigQuery,Medium,Original Bank,Needs Review,FALSE
PMLE-0139,single_choice,"You work on a team in a data center that is responsible for server maintenance. Your management team wants you to build a predictive
 maintenance solution that uses monitoring data to detect potential server failures. Incident data has not been labeled yet. What should you do
 first?","Train a time-series model to predict the machines’ performance values. Configure an alert if a machine’s actual performance values
 significantly differ from the predicted performance values.","Develop a simple heuristic (e.g., based on z-score) to label the machines’ historical performance data. Use this heuristic to monitor server
 performance in real time.","Develop a simple heuristic (e.g., based on z-score) to label the machines’ historical performance data. Train a model to predict anomalies
 based on this labeled dataset.","Hire a team of qualified analysts to review and label the machines’ historical performance data. Train a model based on this manually
 labeled dataset.",,B,"Because incidents are unlabeled, begin with a simple interpretable anomaly heuristic to establish provisional labels and operational baselines. This is faster and cheaper than immediately commissioning a large labeling effort or training a supervised model from unvalidated pseudo-labels.",https://cloud.google.com/architecture/mlops-continuous-delivery-and-automation-pipelines-in-machine-learning,TRUE,,,Scaling prototypes into ML models,"Building models given the task considering cost, complexity, latency, and scalability",Classification; Model Optimization,Medium,Original Bank,Verified,FALSE
PMLE-0140,single_choice,"You work for a retailer that sells clothes to customers around the world. You have been tasked with ensuring that ML models are built in a secure
 manner. Specifically, you need to protect sensitive customer data that might be used in the models. You have identified four fields containing
 sensitive data that are being used by your data science team: AGE, IS_EXISTING_CUSTOMER, LATITUDE_LONGITUDE, and SHIRT_SIZE. What
 should you do with the data before it is made available to the data science team for training purposes?",Tokenize all of the fields using hashed dummy values to replace the real values.,Use principal component analysis (PCA) to reduce the four sensitive fields to one PCA vector.,"Coarsen the data by putting AGE into quantiles and rounding LATITUDE_LONGTTUDE into single precision. The other two fields are already
 as coarse as possible.","Remove all sensitive data fields, and ask the data science team to build their models using non-sensitive data.",,C,"Coarsening age and geolocation reduces re-identification risk while preserving useful predictive signal. Tokenizing numeric and ordinal fields would destroy important relationships, PCA is not a privacy control, and removing every field may unnecessarily reduce model utility. A formal privacy review and tools such as Sensitive Data Protection are still required.",https://cloud.google.com/sensitive-data-protection/docs/deidentify-sensitive-data,TRUE,,,Monitoring AI solutions,Identifying risks to AI solutions,Data Privacy; Feature Engineering; Vector Search; Evaluation Metrics,Medium,Original Bank,Verified,FALSE
PMLE-0141,single_choice,"You work for a magazine publisher and have been tasked with predicting whether customers will cancel their annual subscription. In your
 exploratory data analysis, you find that 90% of individuals renew their subscription every year, and only 10% of individuals cancel their
 subscription. After training a NN Classifier, your model predicts those who cancel their subscription with 99% accuracy and predicts those who
 renew their subscription with 82% accuracy. How should you interpret these results?","This is not a good result because the model should have a higher accuracy for those who renew their subscription than for those who
 cancel their subscription.",This is not a good result because the model is performing worse than predicting that people will always renew their subscription.,"This is a good result because predicting those who cancel their subscription is more difficult, since there is less data for this group.",This is a good result because the accuracy across both groups is greater than 80%.,,B,"Using the stated per-class accuracies, overall accuracy is about 83.7%: 0.9×0.82 + 0.1×0.99. A trivial classifier that always predicts renewal would achieve 90% overall accuracy, so the model is worse on aggregate despite strong performance on the minority class. Class-specific recall, precision, and business costs should also be examined.",https://developers.google.com/machine-learning/crash-course/classification/accuracy-precision-recall,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Data Preparation; Evaluation Metrics; Classification; Model Monitoring,Medium,Original Bank,Verified,FALSE
PMLE-0142,single_choice,"You have built a model that is trained on data stored in Parquet files. You access the data through a Hive table hosted on Google Cloud. You
 preprocessed these data with PySpark and exported it as a CSV file into Cloud Storage. After preprocessing, you execute additional steps to train
 and evaluate your model. You want to parametrize this model training in Kubeflow Pipelines. What should you do?",Remove the data transformation step from your pipeline.,"Containerize the PySpark transformation step, and add it to your pipeline.","Add a ContainerOp to your pipeline that spins a Dataproc cluster, runs a transformation, and then saves the transformed data in Cloud
 Storage.","Deploy Apache Spark at a separate node pool in a Google Kubernetes Engine cluster. Add a ContainerOp to your pipeline that invokes a
 corresponding transformation job for this Spark instance.",,C,"The PySpark transformation should remain a reproducible pipeline step. A pipeline component can create an ephemeral Dataproc cluster, run the Spark transformation, write the result to Cloud Storage, and then tear the cluster down. This avoids maintaining a permanent Spark node pool.",https://cloud.google.com/vertex-ai/docs/pipelines/dataproc-component,TRUE,,,Automating and orchestrating ML pipelines,Developing end-to-end ML pipelines,Dataproc; Pipelines; Cloud Storage; GKE,Medium,Original Bank,Verified,FALSE
PMLE-0143,single_choice,"You have developed an ML model to detect the sentiment of users’ posts on your company's social media page to identify outages or bugs. You
 are using Dataflow to provide real-time predictions on data ingested from Pub/Sub. You plan to have multiple training iterations for your model
 and keep the latest two versions live after every run. You want to split the traffic between the versions in an 80:20 ratio, with the newest model
 getting the majority of the traffic. You want to keep the pipeline as simple as possible, with minimal management required. What should you do?","Deploy the models to a Agent Platform endpoint using the traffic-split=0=80, PREVIOUS_MODEL_ID=20 configuration.","Wrap the models inside an App Engine application using the --splits PREVIOUS_VERSION=0.2, NEW_VERSION=0.8 configuration","Wrap the models inside a Cloud Run container using the REVISION1=20, REVISION2=80 revision configuration.",Implement random splitting in Dataflow using beam.Partition() with a partition function calling a Agent Platform endpoint.,,A,"A Agent Platform endpoint supports weighted traffic splitting across deployed models, so the latest and previous versions can receive 80% and 20% of traffic without adding custom routing logic to Dataflow or operating App Engine or Cloud Run wrappers.",https://cloud.google.com/vertex-ai/docs/predictions/using-traffic-split,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Serving and scaling models,Serving models; Scaling online model serving,Deployment Strategies; Online Inference; Tool Calling; Agents,Medium,Original Bank,Updated 2026,FALSE
PMLE-0144,single_choice,"You are developing an image recognition model using PyTorch based on ResNet50 architecture. Your code is working fine on your local laptop on
 a small subsample. Your full dataset has 200k labeled images. You want to quickly scale your training workload while minimizing cost. You plan
 to use 4 V100 GPUs. What should you do?",Create a Google Kubernetes Engine cluster with a node pool that has 4 V100 GPUs. Prepare and submit a TFJob operator to this node pool.,"Create a Agent Platform Workbench user-managed notebooks instance with 4 V100 GPUs, and use it to train your model.","Package your code with Setuptools, and use a pre-built container. Train your model with Vertex AI using a custom tier that contains the
 required GPUs.","Configure a Compute Engine VM with all the dependencies that launches the training. Train your model with Vertex AI using a custom tier
 that contains the required GPUs.",,C,Agent Platform custom training with a prebuilt PyTorch container and a custom machine specification provisions the four GPUs only for the job and avoids managing a GKE cluster or a persistent notebook VM. Packaging the training application is the standard managed approach.,https://cloud.google.com/vertex-ai/docs/training/create-custom-job,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Scaling prototypes into ML models,Choosing appropriate hardware for training,Training Hardware; Custom Training; Agents; GKE,Medium,Original Bank,Needs Review,FALSE
PMLE-0145,single_choice,"You have trained a DNN regressor with TensorFlow to predict housing prices using a set of predictive features. Your default precision is tf.float64,
 and you use a standard TensorFlow estimator:
 Your model performs well, but just before deploying it to production, you discover that your current serving latency is 10ms @ 90 percentile and
 you currently serve on CPUs. Your production requirements expect a model latency of 8ms @ 90 percentile. You're willing to accept a small
 decrease in performance in order to reach the latency requirement.
 Therefore your plan is to improve latency while evaluating how much the model's prediction decreases. What should you first try to quickly lower
 the serving latency?",Switch from CPU to GPU serving.,Apply quantization to your SavedModel by reducing the floating point precision to tf.float16.,Increase the dropout rate to 0.8 and retrain your model.,Increase the dropout rate to 0.8 in _PREDICT mode by adjusting the TensorFlow Serving parameters.,,B,"Reducing numerical precision can lower model size and improve inference latency while usually causing only a small accuracy change. GPU serving often adds overhead for small low-latency models, and dropout is disabled during inference and therefore does not provide the proposed latency improvement. Validate that the target serving hardware benefits from float16.",https://www.tensorflow.org/model_optimization/guide/quantization/post_training,TRUE,,,Serving and scaling models,Scaling online model serving,Model Optimization; Troubleshooting; Training Hardware; Custom Training,Medium,Original Bank,Verified,FALSE
PMLE-0146,single_choice,"You work on the data science team at a manufacturing company. You are reviewing the company’s historical sales data, which has hundreds of
 millions of records. For your exploratory data analysis, you need to calculate descriptive statistics such as mean, median, and mode; conduct
 complex statistical tests for hypothesis testing; and plot variations of the features over time. You want to use as much of the sales data as
 possible in your analyses while minimizing computational resources. What should you do?","Visualize the time plots in Google Data Studio. Import the dataset into Vertex Al Workbench user-managed notebooks. Use this data to
 calculate the descriptive statistics and run the statistical analyses.","Spin up a Vertex Al Workbench user-managed notebooks instance and import the dataset. Use this data to create statistical and visual
 analyses.","Use BigQuery to calculate the descriptive statistics. Use Vertex Al Workbench user-managed notebooks to visualize the time plots and run
 the statistical analyses.","Use BigQuery to calculate the descriptive statistics, and use Google Data Studio to visualize the time plots. Use Vertex Al Workbench user-
 managed notebooks to run the statistical analyses.",,C,"BigQuery should perform scalable descriptive aggregations over hundreds of millions of rows. A managed notebook can query BigQuery for samples or aggregate results, run specialized statistical tests, and create custom plots without importing the full raw dataset into notebook memory.",https://cloud.google.com/bigquery/docs/bigqueryml-intro,TRUE,,,Collaborating within and across teams to manage data and models,Model prototyping using notebooks,Workbench; BigQuery; Computer Vision,Easy,Original Bank,Verified,FALSE
PMLE-0147,single_choice,"Your data science team needs to rapidly experiment with various features, model architectures, and hyperparameters. They need to track the
 accuracy metrics for various experiments and use an API to query the metrics over time. What should they use to track and report their
 experiments while minimizing manual effort?",Use Vertex Al Pipelines to execute the experiments. Query the results stored in MetadataStore using the Vertex Al API.,"Use Vertex Al Training to execute the experiments. Write the accuracy metrics to BigQuery, and query the results using the BigQuery API.","Use Vertex Al Training to execute the experiments. Write the accuracy metrics to Cloud Monitoring, and query the results using the
 Monitoring API.","Use Vertex Al Workbench user-managed notebooks to execute the experiments. Collect the results in a shared Google Sheets file, and query
 the results using the Google Sheets API.",,A,"Agent Platform Pipelines records pipeline executions, parameters, artifacts, and metrics in Agent Platform ML Metadata, which can be queried through Vertex AI APIs. This minimizes custom experiment-tracking code. Experiments on Agent Platform is the newer dedicated interface for comparing runs.",https://cloud.google.com/vertex-ai/docs/experiments/intro-vertex-ai-experiments,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Collaborating within and across teams to manage data and models,Tracking and running ML experiments; Developing end-to-end ML pipelines,Experiments; ML Metadata; Pipelines; Agents,Medium,Original Bank,Needs Review,FALSE
PMLE-0148,single_choice,"You are training an ML model using data stored in BigQuery that contains several values that are considered Personally Identifiable Information
 (PII). You need to reduce the sensitivity of the dataset before training your model. Every column is critical to your model. How should you
 proceed?","Using Dataflow, ingest the columns with sensitive data from BigQuery, and then randomize the values in each sensitive column.","Use the Cloud Data Loss Prevention (DLP) API to scan for sensitive data, and use Dataflow with the DLP API to encrypt sensitive values
 with Format Preserving Encryption.","Use the Cloud Data Loss Prevention (DLP) API to scan for sensitive data, and use Dataflow to replace all sensitive data by using the
 encryption algorithm AES-256 with a salt.","Before training, use BigQuery to select only the columns that do not contain sensitive data. Create an authorized view of the data so that
 sensitive values cannot be accessed by unauthorized individuals.",,B,"Format-preserving or deterministic encryption can de-identify sensitive values while preserving column shape and joinability when configured correctly. Randomizing values destroys relationships, and removing critical columns violates the stated requirement. Key management and re-identification risk must be reviewed carefully.",https://cloud.google.com/sensitive-data-protection/docs/pseudonymization,TRUE,,,Monitoring AI solutions,Identifying risks to AI solutions,Data Privacy; BigQuery; Dataflow; Responsible AI,Medium,Original Bank,Verified,FALSE
PMLE-0149,multiple_choice,"You recently deployed an ML model. Three months after deployment, you notice that your model is underperforming on certain subgroups, thus
 potentially leading to biased results. You suspect that the inequitable performance is due to class imbalances in the training data, but you cannot
 collect more data. What should you do? (Choose two.)","Remove training examples of high-performing subgroups, and retrain the model.","Add an additional objective to penalize the model more for errors made on the minority class, and retrain the model",Remove the features that have the highest correlations with the majority class.,"Upsample or reweight your existing training data, and retrain the model","Redeploy the model, and provide a label explaining the model's behavior to users.","B,D","Cost-sensitive learning can penalize errors on the minority group more heavily, and reweighting or upsampling can correct representation imbalance without collecting new examples. Removing majority examples may discard useful data, while removing correlated features does not directly solve unequal error rates.",https://developers.google.com/machine-learning/data-prep/construct/sampling-splitting/imbalanced-data,TRUE,,,Monitoring AI solutions,Identifying risks to AI solutions,Responsible AI; Data Preparation,Hard,Original Bank,Verified,FALSE
PMLE-0150,single_choice,"You are working on a binary classification ML algorithm that detects whether an image of a classified scanned document contains a company’s
 logo. In the dataset, 96% of examples don’t have the logo, so the dataset is very skewed. Which metric would give you the most confidence in your
 model?",Precision,Recall,RMSE,F1 score,,D,"With only 4% positive examples, accuracy is misleading. F1 combines precision and recall and is appropriate when both false positives and false negatives matter. If one error type is substantially more costly, a threshold-specific precision, recall, or F-beta metric would be better.",https://developers.google.com/machine-learning/crash-course/classification/accuracy-precision-recall,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Evaluation Metrics; Data Preparation; Computer Vision; Classification,Easy,Original Bank,Verified,FALSE
PMLE-0151,single_choice,"While running a model training pipeline on Vertex Al, you discover that the evaluation step is failing because of an out-of-memory error. You are
 currently using TensorFlow Model Analysis (TFMA) with a standard Evaluator TensorFlow Extended (TFX) pipeline component for the evaluation
 step. You want to stabilize the pipeline without downgrading the evaluation quality while minimizing infrastructure overhead. What should you do?",Include the flag -runner=DataflowRunner in beam_pipeline_args to run the evaluation step on Dataflow.,Move the evaluation step out of your pipeline and run it on custom Compute Engine VMs with sufficient memory.,"Migrate your pipeline to Kubeflow hosted on Google Kubernetes Engine, and specify the appropriate node parameters for the evaluation
 step.",Add tfma.MetricsSpec () to limit the number of metrics in the evaluation step.,,A,"Running the TFMA evaluation on Dataflow distributes Beam processing and provides scalable memory and compute without requiring the team to operate custom VMs or a GKE cluster. Reducing metrics would lower evaluation coverage, contrary to the requirement.",https://www.tensorflow.org/tfx/model_analysis/get_started,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions; Developing end-to-end ML pipelines",Custom Training; Dataflow; GKE; TFX,Medium,Original Bank,Verified,FALSE
PMLE-0152,single_choice,"You are developing an ML model using a dataset with categorical input variables. You have randomly split half of the data into training and test
 sets. After applying one-hot encoding on the categorical variables in the training set, you discover that one categorical variable is missing from
 the test set. What should you do?",Use sparse representation in the test set.,"Randomly redistribute the data, with 70% for the training set and 30% for the test set",Apply one-hot encoding on the categorical variables in the test data,Collect more data representing all categories,,C,"The test set must be transformed with the same vocabulary and one-hot mapping learned from the training set. A category absent from test data simply produces an all-zero value for that category's column; the encoder should not be fit independently on the test set. Option C is closest, but the fitted training encoder must be reused.",https://developers.google.com/machine-learning/data-prep/transform/transform-categorical,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Feature Engineering; Data Preparation,Easy,Original Bank,Verified,FALSE
PMLE-0153,single_choice,"You work for a bank and are building a random forest model for fraud detection. You have a dataset that includes transactions, of which 1% are
 identified as fraudulent. Which data transformation strategy would likely improve the performance of your classifier?",Modify the target variable using the Box-Cox transformation.,Z-normalize all the numeric features.,Oversample the fraudulent transaction 10 times.,Log transform all numeric features.,,C,Oversampling the 1% fraudulent class gives the model more minority examples during training and directly addresses class imbalance. Numeric normalization or log transforms may help optimization but do not solve the rare-class representation problem.,https://developers.google.com/machine-learning/data-prep/construct/sampling-splitting/imbalanced-data,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Data Preparation; Classification; Feature Engineering,Easy,Original Bank,Verified,FALSE
PMLE-0154,single_choice,"You are developing a classification model to support predictions for your company’s various products. The dataset you were given for model
 development has class imbalance You need to minimize false positives and false negatives What evaluation metric should you use to properly
 train the model?",F1 score,Recall,Accuracy,Precision,,A,F1 is the harmonic mean of precision and recall and is appropriate when the goal is to balance false positives and false negatives on an imbalanced classification problem. Accuracy can remain high while minority-class performance is poor.,https://developers.google.com/machine-learning/crash-course/classification/accuracy-precision-recall,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Evaluation Metrics; Data Preparation; Classification; Model Monitoring,Easy,Original Bank,Verified,FALSE
PMLE-0155,single_choice,"You are training an object detection machine learning model on a dataset that consists of three million X-ray images, each roughly 2 GB in size.
 You are using Agent Platform Managed Training to run a custom training application on a Compute Engine instance with 32-cores, 128 GB of RAM, and 1 NVIDIA
 P100 GPU. You notice that model training is taking a very long time. You want to decrease training time without sacrificing model performance.
 What should you do?","Increase the instance memory to 512 GB, and increase the batch size.",Replace the NVIDIA P100 GPU with a K80 GPU in the training job.,Enable early stopping in your Agent Platform Managed Training job.,Use the tf.distribute.Strategy API and run a distributed training job.,,D,The dataset is extremely large and object detection is compute-intensive. Distributed training with tf.distribute.Strategy can use multiple workers and accelerators to reduce wall-clock time without intentionally reducing model capacity or stopping early. Storage and input-pipeline throughput must also be optimized.,https://cloud.google.com/vertex-ai/docs/training/distributed-training,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Scaling prototypes into ML models,Choosing appropriate hardware for training,Distributed Training; Training Hardware; Computer Vision; Agents,Hard,Original Bank,Updated 2026,FALSE
PMLE-0156,single_choice,"You need to build classification workflows over several structured datasets currently stored in BigQuery. Because you will be performing the
 classification several times, you want to complete the following steps without writing code: exploratory data analysis, feature selection, model
 building, training, and hyperparameter tuning and serving. What should you do?",Train a TensorFlow model on Vertex AI.,Train a classification Vertex AutoML model.,Run a logistic regression job on BigQuery ML.,Use scikit-learn in Agent Platform Workbench user-managed notebooks with pandas library.,,B,"Agent Platform AutoML classification provides a managed no-code workflow for structured data, including preprocessing, model search, tuning, evaluation, deployment, and serving. The other choices require writing SQL or Python code.",https://cloud.google.com/vertex-ai/docs/tabular-data/classification-regression/overview,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Architecting low-code AI solutions,Developing ML models using BigQuery ML or AutoML on Gemini Enterprise Agent Platform,AutoML; Classification; BigQuery ML; Agents,Easy,Original Bank,Needs Review,FALSE
PMLE-0157,single_choice,"You recently developed a deep learning model. To test your new model, you trained it for a few epochs on a large dataset. You observe that the
 training and validation losses barely changed during the training run. You want to quickly debug your model. What should you do first?",Verify that your model can obtain a low loss on a small subset of the dataset,Add handcrafted features to inject your domain knowledge into the model,Use the Vertex AI hyperparameter tuning service to identify a better learning rate,Use hardware accelerators and train your model for more epochs,,A,"The first debugging test is to verify that the model can overfit a very small subset. Failure to reach low loss on a tiny sample usually indicates a bug in the data, labels, loss, optimization, or model implementation rather than insufficient hardware or tuning.",https://developers.google.com/machine-learning/testing-debugging/common/overview,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Scaling prototypes into ML models,Training models,Troubleshooting; Model Optimization; Hyperparameter Tuning; Training Hardware,Medium,Original Bank,Needs Review,FALSE
PMLE-0158,single_choice,"You are a data scientist at an industrial equipment manufacturing company. You are developing a regression model to estimate the power
 consumption in the company’s manufacturing plants based on sensor data collected from all of the plants. The sensors collect tens of millions of
 records every day. You need to schedule daily training runs for your model that use all the data collected up to the current date. You want your
 model to scale smoothly and require minimal development work. What should you do?",Develop a regression model using BigQuery ML.,"Develop a custom TensorFlow regression model, and optimize it using Agent Platform Managed Training.","Develop a custom scikit-learn regression model, and optimize it using Agent Platform Managed Training.","Develop a custom PyTorch regression model, and optimize it using Agent Platform Managed Training.",,A,"BigQuery ML trains regression models directly on BigQuery data and can be scheduled daily, which minimizes data movement and custom pipeline development while scaling to tens of millions of new sensor records per day.",https://cloud.google.com/bigquery/docs/regression-overview,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Architecting low-code AI solutions,Developing ML models using BigQuery ML or AutoML on Gemini Enterprise Agent Platform,BigQuery ML; Regression; Pipelines; Agents,Easy,Original Bank,Updated 2026,FALSE
PMLE-0159,single_choice,"Your organization manages an online message board. A few months ago, you discovered an increase in toxic language and bullying on the
 message board. You deployed an automated text classifier that flags certain comments as toxic or harmful. Now some users are reporting that
 benign comments referencing their religion are being misclassified as abusive. Upon further inspection, you find that your classifier's false
 positive rate is higher for comments that reference certain underrepresented religious groups. Your team has a limited budget and is already
 overextended. What should you do?",Add synthetic training data where those phrases are used in non-toxic ways.,Remove the model and replace it with human moderation.,Replace your model with a different text classifier.,Raise the threshold for comments to be considered toxic or harmful.,,A,The problem is a subgroup-specific false-positive disparity caused by underrepresentation. Adding carefully reviewed non-toxic examples that use the affected phrases gives the model counterexamples and directly targets the failure mode. Raising the global threshold may reduce all detections and does not specifically remediate subgroup bias.,https://www.tensorflow.org/responsible_ai/model_remediation/min_diff/guide,TRUE,,,Monitoring AI solutions,Identifying risks to AI solutions,Responsible AI; Classification,Medium,Original Bank,Verified,FALSE
PMLE-0160,single_choice,"You work for a magazine distributor and need to build a model that predicts which customers will renew their subscriptions for the upcoming year.
 Using your company’s historical data as your training set, you created a TensorFlow model and deployed it to Vertex AI. You need to determine
 which customer attribute has the most predictive power for each prediction served by the model. What should you do?","Stream prediction results to BigQuery. Use BigQuery’s CORR(X1, X2) function to calculate the Pearson correlation coefficient between each
 feature and the target variable.","Use Vertex Explainable AI. Submit each prediction request with the explain' keyword to retrieve feature attributions using the sampled
 Shapley method.","Use Agent Platform Workbench user-managed notebooks to perform a Lasso regression analysis on your model, which will eliminate features
 that do not provide a strong signal.","Use the What-If tool in Google Cloud to determine how your model will perform when individual features are excluded. Rank the feature
 importance in order of those that caused the most significant performance drop when removed from the model.",,B,Vertex Explainable AI returns feature attributions for each individual prediction. Sampled Shapley is suitable for tabular inputs and directly answers which customer attributes contributed most to each served result. Correlation and feature-ablation analyses are global and do not explain a single prediction.,https://cloud.google.com/vertex-ai/docs/explainable-ai/overview,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Monitoring AI solutions,Identifying risks to AI solutions,Explainability; Agents; BigQuery; Workbench,Medium,Original Bank,Needs Review,TRUE
PMLE-0161,single_choice,"You are an ML engineer at a manufacturing company. You are creating a classification model for a predictive maintenance use case. You need to
 predict whether a crucial machine will fail in the next three days so that the repair crew has enough time to fix the machine before it breaks.
 Regular maintenance of the machine is relatively inexpensive, but a failure would be very costly. You have trained several binary classifiers to
 predict whether the machine will fail, where a prediction of 1 means that the ML model predicts a failure.
 You are now evaluating each model on an evaluation dataset. You want to choose a model that prioritizes detection while ensuring that more than
 50% of the maintenance jobs triggered by your model address an imminent machine failure. Which model should you choose?",The model with the highest area under the receiver operating characteristic curve (AUC ROC) and precision greater than 0.5,The model with the lowest root mean squared error (RMSE) and recall greater than 0.5.,The model with the highest recall where precision is greater than 0.5.,The model with the highest precision where recall is greater than 0.5.,,C,"A machine failure is much more costly than preventive maintenance, so false negatives must be minimized. Choose the model with the highest recall while enforcing an acceptable precision floor to limit excessive maintenance alerts.",https://developers.google.com/machine-learning/crash-course/classification/accuracy-precision-recall,TRUE,,,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Evaluation Metrics; Classification; Model Monitoring,Easy,Original Bank,Verified,FALSE
